Format,1,,,,,,,
Emerald Version,3.5.5.0,,,,,,,
Station ID,G21-9800,,,,,,,
Environment,Emerald,,,,,,,
Test Name,AN 0BAR, CA 0BAR CV,,,,,,,
User Name,OB,,,,,,,
Comment,CV Logger,,,,,,,
Test Channel,System,,,,,,,
Logger Name,Process_Data,,,,,,,
Profile Name,CV.ini,,,,,,,
Number Of Tags,6,,,,,,,
Initial Log Rate,100 ms,,,,,,,
Start Time,2024-06-20 08:19:20,,,,,,,
-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------
~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~
,,,Voltage,Cell Voltage 001,Cell Voltage 002,Gamry-01.Current,Gamry-01.Voltage,Gamry-01.current_density
,s,,V,V,V,A,V,A/cm?
Time Stamp,Elapsed Time,File Mark,voltage,cell_voltage_001,cell_voltage_002,Gamry-01.current,Gamry-01.voltage,Gamry-01.current_density
2024-06-20 08:19:35.705,15.600,,0.584200,0.000000,0.000381,-2.480017,0.599994,-0.049600
2024-06-20 08:19:35.805,15.700,,0.578500,0.000000,0.000190,-2.462003,0.595014,-0.049240
2024-06-20 08:19:35.905,15.800,,0.573760,0.000000,0.000381,-2.373551,0.585030,-0.048006
2024-06-20 08:19:36.005,15.900,,0.569020,0.000000,0.000381,-2.373551,0.585030,-0.047471
2024-06-20 08:19:36.105,16.000,,0.564280,0.000000,0.000190,-2.359147,0.579995,-0.047183
2024-06-20 08:19:36.205,16.100,,0.554800,-0.000191,0.000381,-2.316163,0.575035,-0.046323
2024-06-20 08:19:36.305,16.200,,0.553850,0.000000,0.000381,-2.286644,0.569993,-0.045733
2024-06-20 08:19:36.405,16.300,,0.549110,0.000191,0.000190,-2.233956,0.564966,-0.044679
2024-06-20 08:19:36.505,16.400,,0.543420,0.000000,0.000190,-2.206265,0.559942,-0.044125
2024-06-20 08:19:36.605,16.500,,0.543420,-0.000191,0.000381,-2.179186,0.554993,-0.043584
2024-06-20 08:19:36.705,16.600,,0.538670,-0.000191,0.000381,-2.147549,0.549953,-0.042951
2024-06-20 08:19:36.805,16.700,,0.529190,-0.000191,0.000381,-2.128973,0.544975,-0.042579
2024-06-20 08:19:36.905,16.800,,0.524450,0.000000,0.000190,-2.125718,0.539947,-0.042514
2024-06-20 08:19:37.005,16.900,,0.519710,0.000000,0.000571,-2.060198,0.535022,-0.041204
2024-06-20 08:19:37.105,17.000,,0.514020,0.000000,0.000190,-2.016644,0.529938,-0.040333
2024-06-20 08:19:37.205,17.100,,0.509270,0.000000,0.000190,-2.016699,0.524965,-0.040334
2024-06-20 08:19:37.305,17.200,,0.504530,0.000000,0.000190,-1.981581,0.514983,-0.039661
2024-06-20 08:19:37.405,17.300,,0.499790,0.000000,0.000381,-1.981581,0.514983,-0.039632
2024-06-20 08:19:37.505,17.400,,0.494100,-0.000191,0.000190,-1.954425,0.509974,-0.039089
2024-06-20 08:19:37.605,17.500,,0.489360,0.000191,0.000190,-1.914785,0.505026,-0.038296
2024-06-20 08:19:37.705,17.600,,0.483670,0.000191,0.000381,-1.872488,0.499945,-0.037450
2024-06-20 08:19:37.805,17.700,,0.478930,0.000000,0.000190,-1.891638,0.495043,-0.037833
2024-06-20 08:19:37.905,17.800,,0.474180,0.000000,0.000000,-1.855436,0.490000,-0.037109
2024-06-20 08:19:38.005,17.900,,0.469440,-0.000191,0.000571,-1.820707,0.484996,-0.036414
2024-06-20 08:19:38.105,18.000,,0.464700,0.000000,0.000190,-1.826346,0.480009,-0.036527
2024-06-20 08:19:38.205,18.100,,0.459010,-0.000381,0.000000,-1.782288,0.475057,-0.035646
2024-06-20 08:19:38.305,18.200,,0.454270,0.000000,0.000190,-1.791354,0.470018,-0.035827
2024-06-20 08:19:38.405,18.300,,0.449530,0.000000,0.000190,-1.815823,0.465047,-0.036316
2024-06-20 08:19:38.505,18.400,,0.444780,0.000000,0.000190,-1.758682,0.459982,-0.035174
2024-06-20 08:19:38.605,18.500,,0.439090,-0.000191,0.000381,-1.734358,0.455036,-0.034687
2024-06-20 08:19:38.705,18.600,,0.434350,0.000191,-0.000190,-1.729158,0.444970,-0.034647
2024-06-20 08:19:38.805,18.700,,0.429610,-0.000191,0.000000,-1.729158,0.444970,-0.034583
2024-06-20 08:19:38.905,18.800,,0.424870,-0.000191,0.000000,-1.714669,0.439968,-0.034293
2024-06-20 08:19:39.005,18.900,,0.419180,0.000000,0.000381,-1.690801,0.435036,-0.033816
2024-06-20 08:19:39.105,19.000,,0.414440,0.000000,0.000381,-1.704756,0.429971,-0.034095
2024-06-20 08:19:39.205,19.100,,0.409700,-0.000191,0.000000,-1.716029,0.425021,-0.034321
2024-06-20 08:19:39.305,19.200,,0.404010,0.000000,0.000190,-1.672024,0.419990,-0.033440
2024-06-20 08:19:39.405,19.300,,0.399260,-0.014686,-0.013142,-1.673289,0.415026,-0.033466
2024-06-20 08:19:39.505,19.400,,0.394520,-0.000381,-0.000190,-1.657208,0.409948,-0.033144
