Format,1,,,,,,,
Emerald Version,3.5.5.0,,,,,,,
Station ID,G21-9800,,,,,,,
Environment,Emerald,,,,,,,
Test Name,CYCLE 3 ~ AN 6BAR 80C, CA 28.5BAR CV,,,,,,,
User Name,OB,,,,,,,
Comment,CV Logger,,,,,,,
Test Channel,System,,,,,,,
Logger Name,Process_Data,,,,,,,
Profile Name,CV.ini,,,,,,,
Number Of Tags,6,,,,,,,
Initial Log Rate,100 ms,,,,,,,
Start Time,2024-06-24 19:20:34,,,,,,,
-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------
~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~
,,,Voltage,Cell Voltage 001,Cell Voltage 002,Gamry-01.Current,Gamry-01.Voltage,Gamry-01.current_density
,s,,V,V,V,A,V,A/cm?
Time Stamp,Elapsed Time,File Mark,voltage,cell_voltage_001,cell_voltage_002,Gamry-01.current,Gamry-01.voltage,Gamry-01.current_density
2024-06-24 19:20:52.105,17.309,,0.494100,-0.000191,0.000381,-0.843548,0.509927,-0.016871
2024-06-24 19:20:52.205,17.409,,0.489360,-0.000191,0.000190,-0.845836,0.499910,-0.016975
2024-06-24 19:20:52.305,17.509,,0.484620,-0.000381,0.000000,-0.845836,0.499910,-0.016917
2024-06-24 19:20:52.405,17.609,,0.478930,-0.000191,0.000000,-0.853249,0.495002,-0.017065
2024-06-24 19:20:52.505,17.709,,0.474180,-0.000191,0.000381,-0.849375,0.489953,-0.016988
2024-06-24 19:20:52.605,17.809,,0.469440,-0.000572,0.000000,-0.851162,0.484969,-0.017023
2024-06-24 19:20:52.705,17.909,,0.459010,-0.000381,0.000190,-0.868989,0.475030,-0.017506
2024-06-24 19:20:52.805,18.009,,0.459010,-0.000191,-0.000190,-0.868989,0.475030,-0.017380
2024-06-24 19:20:52.905,18.109,,0.454270,-0.000381,0.000000,-0.883594,0.469979,-0.017672
2024-06-24 19:20:53.005,18.209,,0.449530,-0.000191,0.000190,-0.886754,0.459954,-0.017483
2024-06-24 19:20:53.105,18.309,,0.444780,-0.000572,0.000381,-0.886754,0.459954,-0.017735
2024-06-24 19:20:53.205,18.409,,0.439090,-0.000191,-0.000381,-0.900156,0.455009,-0.018003
2024-06-24 19:20:53.305,18.509,,0.434350,-0.000191,0.000381,-0.919726,0.444950,-0.018439
